Address (block of),Locatison,Neighborhood,Gender,Cause,Story url,Location,age,Latitude,Longitude
600 N. Ridgeway Ave.,Residence,Humboldt Park,Female,Stabbing,http://abclocal.go.com/wls/story?section=news/local&id=6749044,600 N. Ridgeway Ave. Chicago,83,41.892,-87.720
7700 S. Carpenter St.,Porch/hallway,Auburn Gresham,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/teen-shot-to-death-on-south-side-1.html,7700 S. Carpenter St. Chicago,15,41.754,-87.651
0 W. 68th St.,Street,Greater Grand Crossing,Female,Gunshot,http://www.chicagobreakingnews.com/2009/04/1m-bail-for-man-accused-of-killing-girlfriend.html,0 W. 68th St. Chicago,35,41.771,-87.627
9300 S. Greenwood Ave.,Park property,Burnside,Male,Gunshot,,9300 S. Greenwood Ave. Chicago,22,41.726,-87.597
2600 W. 24th Place,Alley,South Lawndale,Male,Auto crash,,2600 W. 24th Place Chicago,22,41.848,-87.691
4300 W. Thomas St.,Apartment,Humboldt Park,Female,Stabbing,http://www.chicagobreakingnews.com/2009/06/fugitive-in-girlfriends-west-side-slaying-caught.html,4300 W. Thomas St. Chicago,28,41.901,-87.734
1600 W. 119th St.,Parking lot/garage,Morgan Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/robbins-man-shot-killed-in-morgan-park.html,1600 W. 119th St. Chicago,20,41.678,-87.661
4400 W. Lexington St.,Street,West Garfield Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/mosley-shot-lawndale.html,4400 W. Lexington St. Chicago,21,41.872,-87.735
1700 W. 50th St.,Street,New City,Male,Gunshot,http://www.nbcchicago.com/blogs/localleads/14-Year-Old_Becomes_33rd_CPS_Fatality.html,1700 W. 50th St. Chicago,14,41.803,-87.667
1300 S. Throop St.,Street,Near West Side,Male,Trauma,http://www.chicagobreakingnews.com/2009/04/mans-death-under-investigation.html,1300 S. Throop St. Chicago,54,41.771,-87.657
3300 W. Madison St.,Street,East Garfield Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/5-shot-in-flurry-of-shootings.html,3300 W. Madison St. Chicago,30,41.881,-87.709
7900 S. King Dr.,Sidewalk,Chatham,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/5-shot-in-flurry-of-shootings.html,7900 S. King Dr. Chicago,19,41.751,-87.615
7100 S. Vincennes Ave.,Car wash,Greater Grand Crossing,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/cops-englewood-shooting-injures-several.html,7100 S. Vincennes Ave. Chicago,29,41.765,-87.628
500 W. 85th St.,Sidewalk,Auburn Gresham,Male,Gunshot,http://cbs2chicago.com/local/weekend.violence.shootings.2.989005.html,500 W. 85th St. Chicago,25,41.740,-87.638
1000 N. Mason Ave.,Sidewalk,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/shooting-homicide-death-fatality-west-side-chicago-police-austin.html,1000 N. Mason Ave. Chicago,23,41.898,-87.774
3300 W. Division St.,Street,Humboldt Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/shot-humboldt-park-division.html,3300 W. Division St. Chicago,43,41.903,-87.709
6300 S. Ellis Ave.,Street,Woodlawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/3-charged-in-drive-by-slaying-on-south-side.html,6300 S. Ellis Ave. Chicago,38,41.780,-87.600
9100 S. Stony Island Ave.,Hotel/motel,South Chicago,Female,Gunshot,http://www.chicagobreakingnews.com/2009/04/woman-found-dead-in-s-side-motel.html,9100 S. Stony Island Ave. Chicago,47,41.729,-87.586
10700 S. Hoxie Ave,Street,South Deering,Female,Gunshot,http://www.chicagobreakingnews.com/2009/04/young-woman-slain-in-south-deering.html,10700 S. Hoxie Ave Chicago,18,41.701,-87.561
7000 S. Sangamon St.,Street,Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/man-killed-while-driving-in-englewood.html,7000 S. Sangamon St. Chicago,23,41.767,-87.648
4400 W. Walton St.,Street,Humboldt Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/2-slain-in-separate-west-side-shootings-1.html,4400 W. Walton St. Chicago,24,41.898,-87.736
1000 N. Monticello Ave.,Street,Humboldt Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/2-slain-in-separate-west-side-shootings-1.html,1000 N. Monticello Ave. Chicago,38,41.899,-87.718
7800 S. King Dr.,Parking lot/garage,Greater Grand Crossing,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/man-shot-at-gas-station.html,7800 S. King Dr. Chicago,37,41.753,-87.615
