Address (block of),Locatison,Neighborhood,Gender,Cause,Story url,Location,age,Latitude,Longitude
3000 W. Van Buren St.,Street,East Garfield Park,Female,Gunshot,http://www.chicagobreakingnews.com/2009/05/3-slain-in-two-shootings.html,3000 W. Van Buren St. Chicago,19,41.876,-87.701
1500 N. Leamington Ave.,Residential yard,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/3-slain-in-two-shootings.html,1500 N. Leamington Ave. Chicago,22,41.908,-87.755
5900 S. Racine Ave.,Alley,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/homicide-reported-on-south-racine-avenue.html,5900 S. Racine Ave. Chicago,29,41.787,-87.655
1100 S. Independence Blvd.,Street,North Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/1-killed-1-critical-in-north-lawndale-shooting.html,1100 S. Independence Blvd. Chicago,25,41.868,-87.721
6800 S. Indiana Ave.,Sidewalk,Greater Grand Crossing,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/shot-indiana-avenue.html,6800 S. Indiana Ave. Chicago,18,41.771,-87.621
3900 W. 47th St.,Apartment,Archer Heights,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/chicago-man-dies-after-shooting.html,3900 W. 47th St. Chicago,26,41.808,-87.721
5700 S. Laflin St.,Sidewalk,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/man-fatally-shot-while-riding-bike-on-s-side.html,5700 S. Laflin St. Chicago,46,41.790,-87.662
8300 S. Colfax Ave.,Sidewalk,South Chicago,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/chicago-police-south-west-side-shooting-homicide-gun-drive-by.html,8300 S. Colfax Ave. Chicago,24,41.744,-87.562
4200 W. Gladys Ave.,Residence,West Garfield Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/chicago-police-south-west-side-shooting-homicide-gun-drive-by.html,4200 W. Gladys Ave. Chicago,37,41.876,-87.731
4700 N. Sheridan Rd.,Commercial business/office,Uptown,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/man-found-shot-to-death-on-north-side.html,4700 N. Sheridan Rd. Chicago,$null$,41.967,-87.655
900 E. 104th St.,Other,Pullman,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/southeast-side-man-fatally-shot-outside-home.html,900 E. 104th St. Chicago,28,41.706,-87.603
10500 S. Indiana Ave.,Street,Roseland,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/three-brothers-shot-one-fatally-on-south-side.html,10500 S. Indiana Ave. Chicago,30,41.703,-87.619
6400 S. Richmond St.,Sidewalk,Chicago Lawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/man-killed-in-drive-by-shooting.html,6400 S. Richmond St. Chicago,26,41.777,-87.697
200 N. Sangamon St.,Street,Near West Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/police-investigate-drive-by-shooting.html,200 N. Sangamon St. Chicago,34,41.886,-87.651
1100 N. Kildare Ave.,Street,Humboldt Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/two-men-killed-a-third-injured-in-west-side-shootings.html,1100 N. Kildare Ave. Chicago,32,41.901,-87.734
1100 N. Kildare Ave.,Street,Humboldt Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/two-men-killed-a-third-injured-in-west-side-shootings.html,1100 N. Kildare Ave. Chicago,32,41.901,-87.734
800 E. 80th St.,Sidewalk,Chatham,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/man-26-killed-in-south-side-shooting.html,800 E. 80th St. Chicago,26,41.749,-87.605
6000 S. Hermitage Ave.,Sidewalk,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/wake-held-for-slain-chicago-cop.html,6000 S. Hermitage Ave. Chicago,27,41.785,-87.668
3700 W. 79th St.,Sidewalk,Ashburn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/ramil-celestin-shot-robbery-bbw-social-club.html,3700 W. 79th St. Chicago,23,41.750,-87.714
7700 S. Normal Ave.,,Greater Grand Crossing,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/2-men-killed-in-separated-south-side-shootings.html,7700 S. Normal Ave. Chicago,30,41.754,-87.637
8300 S. Brandon Ave.,Sidewalk,South Chicago,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/2-men-killed-in-separated-south-side-shootings.html,8300 S. Brandon Ave. Chicago,20,41.745,-87.547
5800 W. Ohio St.,Street,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/2-fatally-shot-in-south-west-side-shootings.html,5800 W. Ohio St. Chicago,27,41.891,-87.770
600 E. 87th St.,Residence,Chatham,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/first-degree-murder-charge-chicago-police-chatham-calvin-marshall.html,600 E. 87th St. Chicago,29,41.737,-87.610
4900 S. Wabash Ave.,School,Grand Blvd.,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/2-shot-1-fatally-outside-dusable-hs.html,4900 S. Wabash Ave. Chicago,20,41.805,-87.624
6400 S. Sangamon Ave.,,Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-dies-a-month-after-being-shot-in-a-drive-by.html,6400 S. Sangamon Ave. Chicago,29,41.778,-87.649
4900 S. Kolin Ave.,Street,Archer Heights,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/5-shot-1-beaten-on-south-and-sw-sides.html,4900 S. Kolin Ave. Chicago,20,41.804,-87.732
2700 W. St. Georges Ct.,Sidewalk,Logan Square,Male,Assault,http://www.chicagobreakingnews.com/2009/06/humberto-collaguazo-logan-square-northwest-side-beating-robbery-homicide-chicago-police.html,2700 W. St. Georges Ct. Chicago,43,41.922,-87.696
1000 E. 93rd St.,Street,Burnside,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/shooting-stribling-93rd-street.html,1000 E. 93rd St. Chicago,22,41.726,-87.600
600 W. 116th St.,Street,West Pullman,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/man-shot-dead-on-far-south-side-porch.html,600 W. 116th St. Chicago,33,41.684,-87.637
7500 S. Perry Ave.,Street,Greater Grand Crossing,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/man-shot-in-west-chatham-neighorhood.html,7500 S. Perry Ave. Chicago,29,41.758,-87.628
1300 S. Kolin Ave.,Residential yard,North Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/man-shot-dead-in-lawndale.html,1300 S. Kolin Ave. Chicago,21,41.864,-87.734
5400 S. Ellis Ave.,Residence,Hyde Park,Female,Strangling,http://www.chicagobreakingnews.com/2009/06/autopsy-woman-was-strangled-in-apartment.html,5400 S. Ellis Ave. Chicago,54,41.798,-87.602
6000 N. Damen Ave.,,West Ridge,Male,Assault,http://www.chicagobreakingnews.com/2009/06/man-found-beaten-under-van-ruled-homocide.html,6000 N. Damen Ave. Chicago,26,41.991,-87.680
5100 S. Mozart St.,Residential yard,Gage Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/man-found-slain-in-backyard-on-southwest-side.html,5100 S. Mozart St. Chicago,22,41.801,-87.695
4100 W. 82nd Pl.,Residential yard,Ashburn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/teen-dies-after-being-shot-on-sunday-evening.html,4100 W. 82nd Pl. Chicago,15,41.743,-87.724
4300 S. Kedzie Ave.,,Brighton Park,Male,Assault,http://www.chicagobreakingnews.com/2009/06/beating-death-ruled-homicide.html,4300 S. Kedzie Ave. Chicago,23,41.815,-87.705
4700 S. Ellis Ave.,Alley,Kenwood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/man-fatally-shot-in-car-on-s-side-street.html,4700 S. Ellis Ave. Chicago,38,41.810,-87.602
1600 W. 57th St.,Sidewalk,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/at-least-1-critically-injured-in-s-side-shooting.html,1600 W. 57th St. Chicago,23,41.790,-87.665
3500 W. 80th St.,Sidewalk,Ashburn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/teen-found-slain-on-southwest-side.html,3500 W. 80th St. Chicago,16,41.748,-87.710
5000 W. Ferdinand St.,Sidewalk,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/south-austin-homicide-shooting-ferdinand-lavergne-chicago-police-grand-central-area-lawler.html,5000 W. Ferdinand St. Chicago,25,41.889,-87.750
6100 S. Cicero Ave.,Street,Clearing,Male,Auto crash,http://www.chicagobreakingnews.com/2009/06/chicago-police-61st-cicero-traffic-crash-fatality-major-accident-investigation.html,6100 S. Cicero Ave. Chicago,16,41.782,-87.742
1300 S. Albany Ave.,Residential yard,North Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/teen-shot-dead-near-west-side-park.html,1300 S. Albany Ave. Chicago,17,41.864,-87.703
1000 W. Garfield Blvd.,Street,New City,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/man-shot-to-death-in-car-on-south-side-garfield-boulevard.html,1000 W. Garfield Blvd. Chicago,18,41.794,-87.650
7700 S. Phillips Ave.,,South Shore,Male,Gunshot,,7700 S. Phillips Ave. Chicago,28,41.755,-87.565
1500 N. Western Ave.,Vehicle,West Town,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/chicago-police-were-investigating-the.html,1500 N. Western Ave. Chicago,24,41.909,-87.688
9200 S. Harper Ave.,Street,Calumet Heights,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/man-24-slain-on-far-south-side.html,9200 S. Harper Ave. Chicago,24,41.728,-87.587
5400 W. Thomas St.,,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/1-dead-3-wounded-during-west-side-party.html,5400 W. Thomas St. Chicago,29,41.901,-87.761
7600 S. Ingleside Ave.,Street,Greater Grand Crossing,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/1-dead-3-hurt-in-separate-s-side-shootings.html,7600 S. Ingleside Ave. Chicago,32,41.757,-87.602
1600 S. Karlov Ave.,,North Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/man-dies-after-weekend-shooting.html,1600 S. Karlov Ave. Chicago,31,41.859,-87.727
400 S. Keeler Ave.,Street,West Garfield Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/east-garfield-park-man-a-shooting-victim.html,400 S. Keeler Ave. Chicago,31,41.875,-87.730
6100 S. Princeton Ave.,Street,Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/man-hit-by-gunfire-in-englewood-dies.html,6100 S. Princeton Ave. Chicago,45,41.783,-87.633
7400 S. Stewart Ave.,Street,Greater Grand Crossing,Female,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-gets-3-years-in-englewood-girls-death.html,7400 S. Stewart Ave. Chicago,9,41.760,-87.635
200 W. 112th Pl.,,Roseland,Male,Gunshot,,200 W. 112th Pl. Chicago,24,41.690,-87.628
5100 W. Hirsch St.,Park property,Austin,Female,Gunshot,http://www.chicagobreakingnews.com/2009/06/woman-killed-man-wounded-in-shooting.html,5100 W. Hirsch St. Chicago,20,41.906,-87.753
1900 S. Trumbull Ave.,Sidewalk,North Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/teen-shot-to-death-near-west-side-home.html,1900 S. Trumbull Ave. Chicago,18,41.856,-87.711
5900 S. Maplewood Ave.,Sidewalk,Chicago Lawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/northwest-side-man-slain-on-southwest-side.html,5900 S. Maplewood Ave. Chicago,24,41.786,-87.688
6100 W. Diversey Ave.,Street,Belmont Cragin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/northwest-side-man-shot-to-death-near-home.html,6100 W. Diversey Ave. Chicago,29,41.931,-87.778
1000 W. 60th St.,Street,Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/man-found-fatally-shot-on-englewood-street.html,1000 W. 60th St. Chicago,22,41.785,-87.650
2400 W. North Ave.,Vehicle,West Town,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/man-killed-in-suv-owned-by-wronfully-convicted-man.html,2400 W. North Ave. Chicago,37,41.911,-87.688
4100 W. Madison St.,Street,West Garfield Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/man-fatally-shot-in-his-vehicle-on-west-side.html,4100 W. Madison St. Chicago,38,41.881,-87.728
5900 S. Whipple St.,Sidewalk,Chicago Lawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/suspects-sought-in-chicago-lawn-slaying.html,5900 S. Whipple St. Chicago,21,41.786,-87.700
1900 N. California Ave.,Sidewalk,Logan Square,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/man-shot-while-riding-bike-in-logan-square.html,1900 N. California Ave. Chicago,19,41.916,-87.697
9400 S. Ada St.,Vehicle,Washington Heights,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/man-shot-to-death-in-car-on-s-side-street.html,9400 S. Ada St. Chicago,22,41.723,-87.657
6400 W. Touhy Ave.,Residence,Forest Glen,Male,Stabbing,http://www.chicagobreakingnews.com/2009/07/police-cook-county-illinois-chicago-united-states-counties-cook-illinois-landlord-tenant-stabbing-fa.html,6400 W. Touhy Ave. Chicago,54,42.012,-87.787
2300 E. 79th St.,Gas station,South Chicago,Male,Gunshot,http://www.chicagobreakingnews.com/2009/06/man-shot-in-west-chatham-neighorhood.html,2300 E. 79th St. Chicago,26,41.752,-87.569
5000 S. Talman Ave.,Apartment,Gage Park,Male,Assault,http://www.chicagobreakingnews.com/2009/07/charges-in-beating-death-of-elderly-man.html,5000 S. Talman Ave. Chicago,67,41.803,-87.691
1400 W. 72nd Pl.,Sidewalk,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/2-teens-shot-on-south-side.html,1400 W. 72nd Pl. Chicago,16,41.763,-87.659
5800 S. Union Ave.,Street,Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/englewood-shot-gun-violence.html,5800 S. Union Ave. Chicago,26,41.789,-87.643
4300 S. Champlain Ave.,,Grand Blvd.,Male,Stabbing,http://www.chicagobreakingnews.com/2009/07/bronzeville-man-stabbed-to-death-in-domestic.html,4300 S. Champlain Ave. Chicago,35,41.817,-87.610
3300 W. Congress Pkwy,Alley,East Garfield Pk,Female,Strangling,http://www.chicagobreakingnews.com/2009/07/after-a-violent-july-4th.html,3300 W. Congress Pkwy Chicago,29,41.875,-87.709
1200 E. 63rd St.,Street,Woodlawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/two-men-shot-dead-in-woodlawn.html,1200 E. 63rd St. Chicago,26,41.781,-87.596
1200 E. 63rd St.,Street,Woodlawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/two-men-shot-dead-in-woodlawn.html,1200 E. 63rd St. Chicago,26,41.781,-87.596
500 E. 91st St.,Porch/hallway,Chatham,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/after-a-violent-july-4th.html,500 E. 91st St. Chicago,35,41.729,-87.612
4700 S. Forrestville Ave.,Sidewalk,Grand Blvd.,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/one-man-killed-two-injured-in-separate-shootings.html,4700 S. Forrestville Ave. Chicago,21,41.809,-87.613
4700 S. Paulina St.,Street,New City,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/after-a-violent-july-4th.html,4700 S. Paulina St. Chicago,29,41.809,-87.667
400 W. 116th St.,,West Pullman,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/after-a-violent-july-4th.html,400 W. 116th St. Chicago,22,41.684,-87.633
8700 S. Langley Ave.,,Chatham,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/travon-woods-west-englewood-chicago-chicago-police-south-side-advocate-christ-medical-center-cook-co.html,8700 S. Langley Ave. Chicago,22,41.737,-87.607
5900 S. Honore St.,,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/travon-woods-west-englewood-chicago-chicago-police-south-side-advocate-christ-medical-center-cook-co.html,5900 S. Honore St. Chicago,21,41.787,-87.670
2200 E. 78th St.,,South Shore,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/after-a-violent-july-4th.html,2200 E. 78th St. Chicago,18,41.754,-87.570
1200 W. 72nd Pl.,Porch/hallway,West Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/after-a-violent-july-4th.html,1200 W. 72nd Pl. Chicago,38,41.762,-87.654
2800 W. 62nd St.,Sidewalk,Chicago Lawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/man-fatally-shot-in-chicago-lawn.html,2800 W. 62nd St. Chicago,20,41.781,-87.693
3400 W. Jackson Blvd.,Street,East Garfield Pk,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/shooting-west-side-jackson-homan.html,3400 W. Jackson Blvd. Chicago,24,41.878,-87.711
600 N. Leamington Ave.,Alley,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/man-died-after-being-shot-and-stabbed-in-austin.html,600 N. Leamington Ave. Chicago,27,41.891,-87.754
1300 W. 14th St.,CHA apartment,Near West Side,Female,Assault,http://www.chicagobreakingnews.com/2009/07/800000-bail-for-man-accused-of-killing-mom.html,1300 W. 14th St. Chicago,82,41.863,-87.659
4500 S. Cicero Ave.,Street,Garfield Ridge,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/chicago-police-cicero-avenue-shooting-advocate-christ-medical-center.html,4500 S. Cicero Ave. Chicago,23,41.811,-87.743
4400 S. Leclaire Ave.,Vehicle,Garfield Ridge,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/shooting-homicide-leclaire-avenue-southwest-side-chicago-police.html,4400 S. Leclaire Ave. Chicago,21,41.813,-87.751
4900 W. Erie St.,Sidewalk,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/nathaniel-pierson-erie-shot.html,4900 W. Erie St. Chicago,19,41.893,-87.748
7300 S. Dante Ave.,Street,South Shore,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/south-shore-chicago-police-carjacking-shooting-homicide-dante-avenue.html,7300 S. Dante Ave. Chicago,21,41.762,-87.590
4200 W. Madison St.,,West Garfield Pk,Male,Assault,http://www.chicagobreakingnews.com/2009/07/charges-in-beating-death-of-teen-found-in-trash-on-west-side.html,4200 W. Madison St. Chicago,17,41.881,-87.731
2800 W. 55th St.,Gas station,Gage Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/man-shot-dead-at-sw-side-gas-station.html,2800 W. 55th St. Chicago,26,41.794,-87.694
2200 E. 100th St.,Street,South Deering,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/man-shot-dead-in-jeffrey-manor.html,2200 E. 100th St. Chicago,19,41.714,-87.570
2300 S. Sawyer Ave.,Alley,South Lawndale,Male,Assault,http://www.chicagobreakingnews.com/2009/07/three-held-in-fatal-beating-in-little-village.html,2300 S. Sawyer Ave. Chicago,23,41.850,-87.706
700 N. Throop St.,Street,West Town,Male,Assault,http://www.chicagobreakingnews.com/2009/07/man-found-dead-on-birthday-in-west-town.html,700 N. Throop St. Chicago,50,41.894,-87.660
600 W. 89th St.,Street,Auburn Gresham,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/south-side-bronzeville-chatham-englewood-gresham-chicago-police-89th-street-ellis-calumet-peoria.html,600 W. 89th St. Chicago,20,41.733,-87.639
1700 S. Union Ave.,Vehicle,Lower West Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/1-killed-1-wounded-in-east-pilsen-shooting.html,1700 S. Union Ave. Chicago,31,41.859,-87.645
2900 W. Palmer St.,Sidewalk,Logan Square,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/grand-central-logan-square-homicide-shooting-chicago-police-palmer-street.html,2900 W. Palmer St. Chicago,17,41.922,-87.700
1100 N. Wood St.,Sidewalk,West Town,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/grand-central-logan-square-homicide-shooting-chicago-police-palmer-street.html,1100 N. Wood St. Chicago,20,41.901,-87.672
6400 S. Eggleston Ave.,Street,Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/grand-central-logan-square-homicide-shooting-chicago-police-palmer-street.html,6400 S. Eggleston Ave. Chicago,17,41.778,-87.637
1400 N. Rockwell Ave.,CHA parking lot,West Town,Male,Stabbing,http://www.chicagobreakingnews.com/2009/07/man-charged-in-fatal-humboldt-park-stabbing.html,1400 N. Rockwell Ave. Chicago,22,41.907,-87.692
200 W. 59th St.,Street,Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/grand-central-logan-square-homicide-shooting-chicago-police-palmer-street.html,200 W. 59th St. Chicago,29,41.787,-87.630
4100 W. 21st St.,Sidewalk,North Lawndale,Male,Gunshot,,4100 W. 21st St. Chicago,29,41.854,-87.727
1600 N. Mason Ave.,Street,Austin,Female,Gunshot,http://www.chicagobreakingnews.com/2009/07/chicago-police-austin-near-west-side-jackson-mason-driveby-shooting.html,1600 N. Mason Ave. Chicago,28,41.909,-87.774
1400 W. 54th St.,Sidewalk,New City,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/teen-found-dead-in-back-of-the-yards.html,1400 W. 54th St. Chicago,17,41.796,-87.660
11400 S. Stewart Ave.,Street,Roseland,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/chicago-police-are-investigating-a.html,11400 S. Stewart Ave. Chicago,24,41.687,-87.633
3500 W. Lexington St.,Vacant property,East Garfield Pk,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-charged-for-shooting-7-on-west-side.html,3500 W. Lexington St. Chicago,21,41.872,-87.714
5200 S. Artesian Ave.,Porch/hallway,Gage Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/17-year-old-shot-in-head-on-southwest-side.html,5200 S. Artesian Ave. Chicago,17,41.799,-87.686
4600 N. Central Park Ave.,Street,Albany Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/1-slain-1-wounded-in-albany-park-shooting.html,4600 N. Central Park Ave. Chicago,21,41.965,-87.718
400 N. Laramie Ave.,Street,Austin,Female,Gunshot,http://www.chicagobreakingnews.com/2009/07/female-victim-shot-on-west-side.html,400 N. Laramie Ave. Chicago,23,41.888,-87.755
10600 S. Ave. E,,East Side,Female,Abuse,http://www.chicagobreakingnews.com/2009/07/7-month-old-girls-death-ruled-a-homicide.html,10600 S. Ave. E Chicago,$null$,41.703,-87.530
1400 W. 18th St.,Vehicle,Lower West Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/charges-filed-against-man-caught-by-off-duty-cops.html,1400 W. 18th St. Chicago,19,41.858,-87.661
7900 S. Paulina St.,Street,Auburn Gresham,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/2-people-shot-in-gresham-one-seriously-injured.html,7900 S. Paulina St. Chicago,28,41.750,-87.666
700 N. Cicero Ave.,Alley,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/man-shot-dead-in-south-austin-alley.html,700 N. Cicero Ave. Chicago,22,41.893,-87.746
9700 S. Genoa Ave.,Vehicle,Washington Heights,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/man-killed-in-longwood-manor.html,9700 S. Genoa Ave. Chicago,32,41.717,-87.651
3700 W. Grenshaw St.,Apartment,North Lawndale,Female,Gunshot,,3700 W. Grenshaw St. Chicago,29,41.867,-87.718
8200 S. Maryland Ave.,,Chatham,Male,Trauma,http://www.chicagobreakingnews.com/2009/07/baby-dead-after-falling-from-porch.html,8200 S. Maryland Ave. Chicago,$null$,41.746,-87.604
5900 S. Homan Ave.,Street,Gage Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/teen-slain-while-riding-bike-is-identified.html,5900 S. Homan Ave. Chicago,18,41.786,-87.708
4500 W. Cornelia Ave.,Sidewalk,Irving Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/male-shot-on-northwest-side.html,4500 W. Cornelia Ave. Chicago,17,41.944,-87.740
900 N. Larrabee St.,Street,Near North Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/07/man-fatally-shot-while-driving-on-near-n-side.html,900 N. Larrabee St. Chicago,31,41.899,-87.643
4100 W. Palmer St.,Sidewalk,Hermosa,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-charged-in-shooting-death-of-boy.html,4100 W. Palmer St. Chicago,15,41.921,-87.729
1600 W. 79th St.,,Auburn Gresham,Male,Abuse,http://www.chicagobreakingnews.com/2009/08/bail-set-for-woman-boyfriend-in-toddlers-death.html,1600 W. 79th St. Chicago,$null$,41.750,-87.664
600 E. 91st St.,Residence,Chatham,Male,Stabbing,http://www.chicagobreakingnews.com/2009/08/man-charged-in-slaying-of-brother.html,600 E. 91st St. Chicago,54,41.730,-87.609
6700 S. Wabash Ave.,Residential yard,Greater Grand Crossing,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/man-found-shot-killed-in-park-manor.html,6700 S. Wabash Ave. Chicago,20,41.773,-87.624
6000 S. Green St.,Sidewalk,Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/2-shot-one-dead-at-englewood-block-party-1.html,6000 S. Green St. Chicago,19,41.785,-87.646
3500 W. Augusta Blvd.,,Humboldt Park,Female,Auto crash,http://www.chicagobreakingnews.com/2009/08/charges-upgraded-to-murder-in-suv-crash.html,3500 W. Augusta Blvd. Chicago,18,41.899,-87.714
1400 N. California Ave.,Street,West Town,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/car-crash-victim-shot-multiple-times.html,1400 N. California Ave. Chicago,35,41.907,-87.697
1500 N. Western Ave.,Vehicle,West Town,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/car-crash-victim-shot-multiple-times.html,1500 N. Western Ave. Chicago,18,41.909,-87.688
5700 S. Artesian Ave.,Vehicle,Gage Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/2-shot-during-attempt-robbery-1-dead.html,5700 S. Artesian Ave. Chicago,21,41.790,-87.686
9700 S. Avenue J,Alley,East Side,Female,Strangling,,9700 S. Avenue J Chicago,$null$,41.719,-87.534
700 N. Ridgeway Ave.,Sidewalk,Humboldt Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/2-shot-on-west-side.html,700 N. Ridgeway Ave. Chicago,52,41.894,-87.720
600 W. 123rd St.,Sidewalk,West Pullman,Male,Gunshot,http://archives.chicagotribune.com/2009/aug/06/local/chi-sw-side-shooting-06-aug06,600 W. 123rd St. Chicago,31,41.671,-87.637
3100 W. 36th St.,Sidewalk,Brighton Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/motorist-who-died-after-crash-had-been-shot.html,3100 W. 36th St. Chicago,43,41.829,-87.702
3400 N. Rutherford Ave.,Alley,Dunning,Female,Strangling,http://www.chicagobreakingnews.com/2009/08/woman-whose-body-was-dumped-was-strangled.html,3400 N. Rutherford Ave. Chicago,25,41.942,-87.795
4900 W. Adams St.,Alley,Austin,Female,Strangling,http://www.chicagobreakingnews.com/2009/08/austin-west-side-strangulation-chicago-police-shannon-williams.html,4900 W. Adams St. Chicago,36,41.879,-87.747
800 W. 76th St.,Sidewalk,Auburn Gresham,Male,Stabbing,http://www.chicagobreakingnews.com/2009/08/man-charged-in-fatal-south-side-stabbing.html,800 W. 76th St. Chicago,22,41.756,-87.644
7100 S. Artesian Ave.,Sidewalk,Chicago Lawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/no-bail-for-man-accused-in-fatal-marquette-park-shooting.html,7100 S. Artesian Ave. Chicago,28,41.765,-87.684
10000 S. Eberhart Ave.,Residence,Roseland,Male,Gunshot,http://www.chicagobreakingnews.com/2009/08/two-found-dead-on-far-south-side.html,10000 S. Eberhart Ave. Chicago,70,41.713,-87.612
